source,target
185002,96102
275265,299097
309702,299097
178882,275265
299097,275265
288051,297259
268922,500998
365821,500998
33954,376666
152217,376666
197446,376666
334741,376666
420927,376666
249031,400603
96300,372219
375376,372219
30803,22151
307429,368945
360784,368945
459762,368945
452165,178882
205994,494037
53651,205994
494037,205994
40220,288051
55908,288051
147139,288051
297259,288051
364439,288051
174849,47497
214945,451187
371160,451187
474971,379421
259319,242982
22685,122573
320199,122573
340989,76755
450590,76755
489754,76755
316260,462055
13355,69407
14581,69407
68983,69407
71782,69407
358187,123067
177393,503034
301516,503034
451227,502402
498543,502402
548530,156732
6003,415822
19259,415822
415822,19259
430785,152974
514150,152974
373694,195823
482322,195823
253207,434903
226149,358271
469393,249353
249353,469393
310976,469393
254868,4454
354146,4454
228539,398096
522964,148873
141765,363355
258144,363355
186070,126028
536257,520334
150993,348333
523028,348333
259975,441026
363648,441026
37765,146001
262745,238994
210788,288041
473110,288041
259022,540871
273293,540871
444455,540871
446865,93487
401259,494063
54218,524069
103749,524069
230111,424556
380803,160642
363992,456088
217180,285925
506737,285925
521275,285925
119198,189843
18467,415622
146001,415622
305983,343208
237346,444117
451257,517686
40460,422273
52627,422273
90263,422273
107967,422273
126081,422273
134924,422273
147827,422273
295549,422273
336672,422273
451377,422273
541575,422273
23629,284388
412208,444455
371958,6251
318097,477653
252968,352869
126028,186070
480662,41498
192484,233062
413200,233062
432619,233062
446158,233062
480485,233062
348787,440901
18394,112229
4454,354146
8146,438771
237303,438771
200686,409550
209313,132726
340472,132726
543970,132726
160789,65674
205240,65674
298935,65674
378132,65674
438051,65674
447364,65674
64071,367313
262738,367313
283846,173198
362486,173198
475106,173198
489565,173198
513829,173198
497732,2862
267182,374446
12243,507839
104147,507839
113745,507839
130973,507839
294659,507839
322457,507839
435890,507839
49325,259678
409278,259678
144043,187712
169323,191134
176577,191134
212244,191134
329278,191134
375000,191134
416093,191134
483695,191134
488012,191134
535514,191134
300682,102796
412032,102796
145231,345740
147015,345740
446546,345740
471216,345740
417964,326948
193529,2922
233616,2922
297742,2922
2922,297742
390671,297742
420834,297742
425855,297742
327407,456139
188230,327407
270520,327407
348884,327407
456139,327407
500533,327407
39534,531137
100687,531137
147620,531137
156556,531137
293530,531137
526943,531137
148941,39534
353041,39534
507442,39534
531137,39534
215985,121083
218904,453489
401947,453489
501772,453489
448402,350516
524977,135991
453489,501772
520350,501772
32808,376196
276198,376196
350516,376196
444851,376196
467806,376196
501950,376196
121083,215985
347124,215985
511628,370741
524118,387821
133269,524118
319864,524118
387821,524118
533557,524118
200111,148107
219012,148107
268497,148107
3821,312392
211361,312392
324987,312392
352309,312392
469173,312392
500190,312392
6135,136328
76816,136328
101358,136328
116433,136328
119541,136328
126356,136328
256046,136328
263032,136328
293976,136328
319724,136328
409010,136328
432761,136328
503560,136328
536297,136328
103073,183497
122259,183497
216703,183497
264261,183497
451129,183497
389061,171843
99243,531004
131951,531004
170073,531004
189641,531004
205220,531004
343810,531004
368709,531004
472725,531004
522212,531004
30309,424355
86323,424355
180866,424355
259086,424355
469687,424355
39869,161699
187901,161699
369490,161699
320409,150609
272416,396123
328138,396123
514570,396123
2862,497732
355139,497732
408995,361958
849,211049
202773,211049
300386,211049
357048,211049
458585,211049
509229,211049
507116,404672
104217,40504
444231,40504
131692,362980
93655,281173
219358,281173
125318,2895
81287,275780
527905,275780
505355,382149
422188,21087
348217,91896
282425,211595
469836,433627
48193,243940
75181,243940
299075,243940
